Date Reported,Nomes de medida,Valores de medida
Tudo,Confirmed Cases,473.459
Tudo,PCR Tests,4.359.840
Tudo,* Antigen Tests,773.177
Tudo,Serology Tests,145.914
17/02/2021,Confirmed Cases,554
17/02/2021,PCR Tests,6.374
17/02/2021,* Antigen Tests,7.582
17/02/2021,Serology Tests,198
16/02/2021,Confirmed Cases,706
16/02/2021,PCR Tests,8.647
16/02/2021,* Antigen Tests,7.162
16/02/2021,Serology Tests,376
15/02/2021,Confirmed Cases,517
15/02/2021,PCR Tests,6.455
15/02/2021,* Antigen Tests,3.554
15/02/2021,Serology Tests,486
14/02/2021,Confirmed Cases,316
14/02/2021,PCR Tests,4.928
14/02/2021,* Antigen Tests,1.416
14/02/2021,Serology Tests,100
13/02/2021,Confirmed Cases,517
13/02/2021,PCR Tests,9.447
13/02/2021,* Antigen Tests,4.749
13/02/2021,Serology Tests,203
12/02/2021,Confirmed Cases,622
12/02/2021,PCR Tests,9.847
12/02/2021,* Antigen Tests,5.517
12/02/2021,Serology Tests,451
11/02/2021,Confirmed Cases,956
11/02/2021,PCR Tests,16.221
11/02/2021,* Antigen Tests,11.545
11/02/2021,Serology Tests,436
10/02/2021,Confirmed Cases,866
10/02/2021,PCR Tests,16.162
10/02/2021,* Antigen Tests,6.953
10/02/2021,Serology Tests,467
09/02/2021,Confirmed Cases,854
09/02/2021,PCR Tests,12.642
09/02/2021,* Antigen Tests,13.846
09/02/2021,Serology Tests,511
08/02/2021,Confirmed Cases,970
08/02/2021,PCR Tests,12.272
08/02/2021,* Antigen Tests,7.844
08/02/2021,Serology Tests,876
07/02/2021,Confirmed Cases,412
07/02/2021,PCR Tests,5.855
07/02/2021,* Antigen Tests,1.902
07/02/2021,Serology Tests,122
06/02/2021,Confirmed Cases,666
06/02/2021,PCR Tests,9.957
06/02/2021,* Antigen Tests,1.904
06/02/2021,Serology Tests,377
05/02/2021,Confirmed Cases,1.014
05/02/2021,PCR Tests,13.910
05/02/2021,* Antigen Tests,11.211
05/02/2021,Serology Tests,709
04/02/2021,Confirmed Cases,1.316
04/02/2021,PCR Tests,21.086
04/02/2021,* Antigen Tests,10.794
04/02/2021,Serology Tests,1.233
03/02/2021,Confirmed Cases,1.418
03/02/2021,PCR Tests,17.864
03/02/2021,* Antigen Tests,10.931
03/02/2021,Serology Tests,563
02/02/2021,Confirmed Cases,1.012
02/02/2021,PCR Tests,11.916
02/02/2021,* Antigen Tests,15.157
02/02/2021,Serology Tests,563
01/02/2021,Confirmed Cases,1.220
01/02/2021,PCR Tests,11.305
01/02/2021,* Antigen Tests,10.526
01/02/2021,Serology Tests,1.290
31/01/2021,Confirmed Cases,694
31/01/2021,PCR Tests,7.253
31/01/2021,* Antigen Tests,2.351
31/01/2021,Serology Tests,176
30/01/2021,Confirmed Cases,960
30/01/2021,PCR Tests,11.840
30/01/2021,* Antigen Tests,4.327
30/01/2021,Serology Tests,268
29/01/2021,Confirmed Cases,1.317
29/01/2021,PCR Tests,15.225
29/01/2021,* Antigen Tests,13.526
29/01/2021,Serology Tests,513
28/01/2021,Confirmed Cases,1.914
28/01/2021,PCR Tests,21.124
28/01/2021,* Antigen Tests,11.652
28/01/2021,Serology Tests,1.071
27/01/2021,Confirmed Cases,1.594
27/01/2021,PCR Tests,20.178
27/01/2021,* Antigen Tests,11.783
27/01/2021,Serology Tests,475
26/01/2021,Confirmed Cases,1.450
26/01/2021,PCR Tests,14.573
26/01/2021,* Antigen Tests,10.508
26/01/2021,Serology Tests,1.331
25/01/2021,Confirmed Cases,1.319
25/01/2021,PCR Tests,14.877
25/01/2021,* Antigen Tests,10.555
25/01/2021,Serology Tests,405
24/01/2021,Confirmed Cases,809
24/01/2021,PCR Tests,8.317
24/01/2021,* Antigen Tests,2.100
24/01/2021,Serology Tests,174
23/01/2021,Confirmed Cases,1.232
23/01/2021,PCR Tests,12.919
23/01/2021,* Antigen Tests,4.912
23/01/2021,Serology Tests,863
22/01/2021,Confirmed Cases,2.550
22/01/2021,PCR Tests,22.552
22/01/2021,* Antigen Tests,10.259
22/01/2021,Serology Tests,780
21/01/2021,Confirmed Cases,1.756
21/01/2021,PCR Tests,19.817
21/01/2021,* Antigen Tests,13.646
21/01/2021,Serology Tests,1.643
20/01/2021,Confirmed Cases,1.853
20/01/2021,PCR Tests,19.516
20/01/2021,* Antigen Tests,9.810
20/01/2021,Serology Tests,715
19/01/2021,Confirmed Cases,1.790
19/01/2021,PCR Tests,15.479
