,Susceptible,Infected,Recovered,Death,Hospitalization,Severe
0,0.975,0.012,0.0,0.0,0.0,0.0
1,0.972,0.015,0.0,0.0,0.0,0.0
2,0.97,0.017,0.0,0.0,0.0,0.0
3,0.969,0.018,0.0,0.0,0.0,0.0
4,0.968,0.019,0.0,0.0,0.0,0.0
5,0.967,0.02,0.0,0.0,0.0,0.0
6,0.966,0.021,0.0,0.0,0.0,0.0
7,0.965,0.022,0.0,0.0,0.001,0.0
8,0.964,0.023,0.0,0.0,0.001,0.0
9,0.963,0.024,0.0,0.0,0.001,0.001
10,0.962,0.025,0.0,0.0,0.001,0.001
11,0.961,0.026,0.0,0.0,0.001,0.001
12,0.96,0.027,0.0,0.0,0.002,0.001
13,0.959,0.028,0.0,0.0,0.003,0.002
14,0.958,0.029,0.0,0.0,0.004,0.002
15,0.957,0.029,0.001,0.0,0.004,0.002
16,0.956,0.03,0.001,0.0,0.004,0.003
17,0.955,0.029,0.003,0.0,0.006,0.003
18,0.954,0.03,0.003,0.0,0.007,0.003
19,0.953,0.028,0.006,0.0,0.006,0.002
20,0.952,0.029,0.006,0.0,0.006,0.002
21,0.951,0.029,0.007,0.0,0.006,0.003
22,0.95,0.028,0.009,0.0,0.005,0.002
23,0.949,0.027,0.011,0.0,0.005,0.003
24,0.949,0.025,0.013,0.0,0.005,0.003
25,0.948,0.026,0.013,0.0,0.005,0.003
26,0.947,0.027,0.013,0.0,0.005,0.003
27,0.946,0.026,0.015,0.0,0.005,0.003
28,0.945,0.026,0.016,0.0,0.004,0.003
29,0.944,0.025,0.018,0.0,0.003,0.001
30,0.943,0.024,0.02,0.0,0.002,0.0
31,0.942,0.022,0.023,0.0,0.001,0.0
32,0.941,0.022,0.024,0.0,0.001,0.0
33,0.94,0.022,0.025,0.0,0.001,0.0
34,0.939,0.021,0.027,0.0,0.001,0.0
35,0.938,0.02,0.029,0.0,0.001,0.0
36,0.937,0.02,0.03,0.0,0.001,0.0
37,0.936,0.021,0.03,0.0,0.001,0.0
38,0.935,0.022,0.03,0.0,0.001,0.0
39,0.934,0.022,0.031,0.0,0.001,0.001
40,0.933,0.021,0.033,0.0,0.001,0.001
41,0.932,0.021,0.034,0.0,0.001,0.001
42,0.931,0.021,0.035,0.0,0.001,0.001
43,0.93,0.022,0.035,0.0,0.001,0.001
44,0.929,0.022,0.036,0.0,0.001,0.001
45,0.928,0.022,0.037,0.0,0.002,0.001
46,0.927,0.021,0.039,0.0,0.003,0.001
47,0.926,0.022,0.039,0.0,0.003,0.001
48,0.925,0.021,0.041,0.0,0.002,0.0
49,0.924,0.022,0.041,0.0,0.002,0.0
50,0.923,0.022,0.042,0.0,0.002,0.001
51,0.922,0.023,0.042,0.0,0.004,0.001
52,0.921,0.023,0.043,0.0,0.003,0.001
53,0.92,0.024,0.043,0.0,0.003,0.001
54,0.919,0.023,0.045,0.0,0.003,0.001
55,0.918,0.023,0.046,0.0,0.004,0.001
56,0.917,0.023,0.047,0.0,0.004,0.002
57,0.916,0.021,0.05,0.0,0.002,0.001
58,0.915,0.022,0.05,0.0,0.002,0.001
59,0.914,0.022,0.051,0.0,0.003,0.001
60,0.913,0.023,0.051,0.0,0.003,0.001
61,0.912,0.023,0.052,0.0,0.003,0.001
62,0.911,0.023,0.053,0.0,0.003,0.001
63,0.91,0.023,0.054,0.0,0.003,0.001
64,0.909,0.022,0.056,0.0,0.003,0.0
65,0.908,0.023,0.056,0.0,0.003,0.001
66,0.907,0.023,0.057,0.0,0.003,0.001
67,0.906,0.022,0.059,0.0,0.003,0.001
68,0.905,0.021,0.061,0.0,0.003,0.002
69,0.904,0.022,0.061,0.0,0.003,0.002
70,0.903,0.022,0.062,0.0,0.003,0.002
71,0.902,0.023,0.062,0.0,0.003,0.002
72,0.901,0.024,0.062,0.0,0.004,0.002
73,0.9,0.025,0.062,0.0,0.004,0.002
74,0.899,0.023,0.065,0.0,0.004,0.003
75,0.898,0.024,0.065,0.0,0.004,0.003
76,0.898,0.021,0.068,0.0,0.002,0.001
77,0.897,0.02,0.07,0.0,0.002,0.001
78,0.896,0.02,0.071,0.0,0.002,0.001
79,0.895,0.02,0.072,0.0,0.001,0.0
80,0.894,0.021,0.072,0.0,0.001,0.0
81,0.893,0.022,0.072,0.0,0.001,0.0
82,0.892,0.023,0.072,0.0,0.001,0.0
83,0.891,0.022,0.074,0.0,0.002,0.0
84,0.89,0.02,0.077,0.0,0.0,0.0
85,0.889,0.02,0.078,0.0,0.0,0.0
86,0.888,0.02,0.079,0.0,0.002,0.0
87,0.887,0.021,0.079,0.0,0.002,0.0
88,0.886,0.021,0.08,0.0,0.003,0.0
89,0.885,0.022,0.08,0.0,0.003,0.0
