,Susceptible,Infected,Recovered,Death,Hospitalization,Severe
0,0.981,0.011,0.0,0.0,0.0,0.0
1,0.972,0.02,0.0,0.0,0.0,0.0
2,0.955,0.037,0.0,0.0,0.0,0.0
3,0.928,0.064,0.0,0.0,0.0,0.0
4,0.882,0.11,0.0,0.0,0.0,0.0
5,0.81,0.182,0.0,0.0,0.0,0.0
6,0.695,0.297,0.0,0.0,0.0,0.0
7,0.545,0.447,0.0,0.0,0.002,0.0
8,0.379,0.613,0.0,0.0,0.005,0.0
9,0.218,0.774,0.0,0.0,0.007,0.001
10,0.117,0.875,0.0,0.0,0.009,0.001
11,0.056,0.936,0.0,0.0,0.012,0.001
12,0.025,0.967,0.0,0.0,0.013,0.001
13,0.012,0.979,0.001,0.0,0.017,0.002
14,0.004,0.985,0.002,0.001,0.024,0.002
15,0.003,0.981,0.006,0.002,0.032,0.004
16,0.001,0.982,0.007,0.002,0.041,0.004
17,0.0,0.976,0.01,0.006,0.048,0.004
18,0.0,0.962,0.021,0.009,0.058,0.006
19,0.0,0.946,0.033,0.013,0.065,0.006
20,0.0,0.929,0.047,0.016,0.078,0.007
21,0.0,0.902,0.067,0.023,0.077,0.007
22,0.0,0.879,0.087,0.026,0.085,0.007
23,0.0,0.83,0.131,0.031,0.093,0.007
24,0.0,0.763,0.19,0.039,0.088,0.008
25,0.0,0.711,0.234,0.047,0.098,0.01
26,0.0,0.641,0.296,0.055,0.087,0.01
27,0.0,0.571,0.361,0.06,0.083,0.011
28,0.0,0.496,0.431,0.065,0.078,0.012
29,0.0,0.424,0.5,0.068,0.073,0.01
30,0.0,0.369,0.55,0.073,0.062,0.006
31,0.0,0.311,0.605,0.076,0.053,0.006
32,0.0,0.256,0.657,0.079,0.046,0.007
33,0.0,0.217,0.694,0.081,0.037,0.005
34,0.0,0.178,0.732,0.082,0.03,0.004
35,0.0,0.146,0.763,0.083,0.028,0.004
36,0.0,0.117,0.792,0.083,0.025,0.003
37,0.0,0.09,0.818,0.084,0.022,0.002
38,0.0,0.071,0.836,0.085,0.018,0.002
39,0.0,0.059,0.848,0.085,0.015,0.001
40,0.0,0.045,0.862,0.085,0.008,0.0
41,0.0,0.038,0.869,0.085,0.008,0.0
42,0.0,0.031,0.876,0.085,0.006,0.0
43,0.0,0.024,0.883,0.085,0.005,0.0
44,0.0,0.018,0.889,0.085,0.003,0.0
45,0.0,0.013,0.894,0.085,0.003,0.0
46,0.0,0.01,0.897,0.085,0.001,0.001
47,0.0,0.007,0.9,0.085,0.001,0.001
48,0.0,0.003,0.904,0.085,0.0,0.0
49,0.0,0.002,0.905,0.085,0.0,0.0
50,0.0,0.001,0.906,0.085,0.0,0.0
51,0.0,0.001,0.906,0.085,0.0,0.0
52,0.0,0.0,0.907,0.085,0.0,0.0
53,0.0,0.0,0.907,0.085,0.0,0.0
54,0.0,0.0,0.907,0.085,0.0,0.0
55,0.0,0.0,0.907,0.085,0.0,0.0
56,0.0,0.0,0.907,0.085,0.0,0.0
57,0.0,0.0,0.907,0.085,0.0,0.0
58,0.0,0.0,0.907,0.085,0.0,0.0
59,0.0,0.0,0.907,0.085,0.0,0.0
60,0.0,0.0,0.907,0.085,0.0,0.0
61,0.0,0.0,0.907,0.085,0.0,0.0
62,0.0,0.0,0.907,0.085,0.0,0.0
63,0.0,0.0,0.907,0.085,0.0,0.0
64,0.0,0.0,0.907,0.085,0.0,0.0
65,0.0,0.0,0.907,0.085,0.0,0.0
66,0.0,0.0,0.907,0.085,0.0,0.0
67,0.0,0.0,0.907,0.085,0.0,0.0
68,0.0,0.0,0.907,0.085,0.0,0.0
69,0.0,0.0,0.907,0.085,0.0,0.0
70,0.0,0.0,0.907,0.085,0.0,0.0
71,0.0,0.0,0.907,0.085,0.0,0.0
72,0.0,0.0,0.907,0.085,0.0,0.0
73,0.0,0.0,0.907,0.085,0.0,0.0
74,0.0,0.0,0.907,0.085,0.0,0.0
75,0.0,0.0,0.907,0.085,0.0,0.0
76,0.0,0.0,0.907,0.085,0.0,0.0
77,0.0,0.0,0.907,0.085,0.0,0.0
78,0.0,0.0,0.907,0.085,0.0,0.0
79,0.0,0.0,0.907,0.085,0.0,0.0
80,0.0,0.0,0.907,0.085,0.0,0.0
81,0.0,0.0,0.907,0.085,0.0,0.0
82,0.0,0.0,0.907,0.085,0.0,0.0
83,0.0,0.0,0.907,0.085,0.0,0.0
84,0.0,0.0,0.907,0.085,0.0,0.0
85,0.0,0.0,0.907,0.085,0.0,0.0
86,0.0,0.0,0.907,0.085,0.0,0.0
87,0.0,0.0,0.907,0.085,0.0,0.0
88,0.0,0.0,0.907,0.085,0.0,0.0
89,0.0,0.0,0.907,0.085,0.0,0.0
